,no,economic,figure,stratgy,rule,puzzle,party,sum_score,
116,172308,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.30488497,6.666666667
117,230802,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.30488497,7.368421053
118,245638,4.821428571,4.6875,4.861111111,4.615384615,4.482758621,5,28.46818292,15.2173913
119,225694,4.642857143,4.84375,5,4.358974359,4.482758621,4.62962963,27.95796975,0
120,182694,4.642857143,4.84375,4.861111111,4.487179487,4.482758621,4.62962963,27.94728599,3.5
121,133038,4.642857143,5,4.861111111,4.487179487,5,4.62962963,28.62077737,9.545454545
122,109276,4.821428571,4.84375,4.722222222,4.743589744,4.310344828,4.62962963,28.07096499,0
123,148949,4.642857143,4.375,4.861111111,4.615384615,4.310344828,4.814814815,27.61951251,6.086956522
124,70149,4.821428571,4.84375,4.861111111,4.487179487,4.310344828,4.62962963,27.95344363,0
125,463,4.642857143,4.84375,4.861111111,4.487179487,4.827586207,4.62962963,28.29211358,10.5
126,40692,4.821428571,4.6875,4.722222222,4.487179487,4.482758621,4.814814815,28.01590372,9.545454545
127,147949,4.642857143,4.84375,4.722222222,4.487179487,4.482758621,4.62962963,27.8083971,3.333333333
128,15817,4.821428571,5,5,4.487179487,4.310344828,4.62962963,28.24858252,0
129,170216,4.642857143,4.6875,5,4.743589744,4.655172414,4.62962963,28.35874893,5.833333333
130,129622,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.814814815,28.34909363,7.368421053
131,233398,4.642857143,4.84375,4.861111111,4.487179487,4.482758621,4.62962963,27.94728599,7.368421053
132,760,4.642857143,4.84375,4.722222222,4.487179487,4.827586207,4.62962963,28.15322469,7.777777778
133,131904,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.62962963,28.11969978,7.777777778
134,555,4.821428571,4.84375,4.861111111,4.358974359,4.655172414,4.814814815,28.35525127,11.66666667
135,216788,4.821428571,5,4.861111111,4.487179487,4.655172414,4.62962963,28.45452121,11.05263158
136,2653,4.642857143,4.53125,4.861111111,4.487179487,4.482758621,4.62962963,27.63478599,6.086956522
137,163412,5,5,5,4.358974359,4.827586207,4.62962963,28.8161902,10
138,43015,4.642857143,4.84375,4.861111111,4.615384615,4.310344828,4.814814815,28.08826251,7
139,93,4.821428571,4.84375,4.722222222,4.615384615,4.655172414,4.62962963,28.28758745,5.6
140,146886,4.821428571,4.84375,4.861111111,4.743589744,4.655172414,4.62962963,28.55468147,18.26086957
141,34635,4.642857143,5,4.722222222,4.743589744,4.482758621,4.814814815,28.40624254,15.55555556
142,181960,4.642857143,4.84375,4.722222222,4.487179487,4.655172414,4.62962963,27.9808109,8.235294118
143,274364,4.642857143,5,5,4.615384615,4.482758621,4.814814815,28.55581519,6.666666667
144,188920,4.642857143,4.84375,4.722222222,4.871794872,4.482758621,4.814814815,28.37819767,5
145,123260,4.821428571,5,5,4.358974359,4.655172414,4.814814815,28.65039016,14.73684211
146,122515,4.642857143,4.6875,4.861111111,4.487179487,4.655172414,5,28.33382015,13.46153846
147,246192,4.642857143,4.84375,4.861111111,4.487179487,4.310344828,4.62962963,27.7748722,4.117647059
148,9216,4.821428571,4.84375,4.861111111,4.487179487,4.482758621,4.814814815,28.31104261,7.368421053
149,206941,4.642857143,4.84375,4.861111111,4.358974359,4.482758621,4.814814815,28.00426605,8.235294118
150,4098,4.642857143,4.6875,5,4.358974359,4.827586207,4.814814815,28.33173252,5.185185185
151,432,4.642857143,4.84375,5,4.358974359,4.482758621,4.814814815,28.14315494,3.684210526
152,247763,4.821428571,5,5,4.487179487,4.482758621,4.814814815,28.60618149,14.73684211
153,147020,4.821428571,4.84375,5,4.358974359,4.655172414,4.62962963,28.30895497,7.368421053
154,209685,4.821428571,4.84375,4.861111111,4.615384615,4.827586207,4.62962963,28.59889013,10.5
155,25554,4.642857143,4.84375,4.861111111,4.358974359,4.310344828,4.62962963,27.64666707,0
156,34119,4.642857143,4.84375,4.861111111,4.487179487,4.310344828,4.814814815,27.96005738,6.666666667
157,5,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.62962963,28.02501956,10.5
158,201808,4.821428571,4.84375,4.861111111,4.358974359,4.655172414,4.814814815,28.35525127,6.086956522
