Fake보드까페,경기 성남시 수정구 산성대로 259-1 지하1층
매드포미니어쳐,서울 광진구 광나루로17길 14-5 지하 1층
오렌지보드카페,서울 송파구 중대로9길 29 보광빌라 4층
마작스쿨 역곡마장,경기 부천시 경인로 505 역곡하이뷰 6층 601호
아지트,경기 부천시 소향로 203 2층 203 204호
1st홀덤펍,경기 부천시 상동로 79 3층
카카오보드카페,경기 성남시 분당구 구미로 11
제임스보드게임카페,경기 안양시 동안구 관평로182번길 30 한솔프라자 4층
JT보드카페,경기 성남시 수정구 시민로142번길 15
레드버튼 동성로2호점,대구 중구 동성로3길 62 2층
보드타운,인천 남동구 구월로 362 명품프라자 3층
룸카페리치,경기 화성시 꽃내음1길 19-26
룰루랄라보드게임카페,경기 성남시 분당구 돌마로 47 4층 402호
구리 초이스홀덤펍,경기 구리시 체육관로172번길 30 3층
피치브라더스,서울 강동구 올림픽로70길 51 5층
봉보드카페,서울 강남구 학동로20길 54 지하1층
KK홀덤바,서울 강남구 논현로 507
아수라발발타,서울 서초구 논현로17길 3
아수라발발타,서울 마포구 마포대로4나길 7 2층
21보드게임카페,대구 북구 학정로 429 2층 201호
놀이터보드카페,경기 광주시 경안로 37
블랙조커,서울 마포구 성암로 223-1 지하1층
미소쿱,경기 부천시 부천로39번길 42 3층
스다하크보드카페,서울 강남구 강남대로118길 22 3층
하프보드카페,경기 성남시 분당구 성남대로926번길 6 대덕프라자 3층 301호
보드스쿨 대학로점,서울 종로구 대학로 143 3층
보드스쿨 연신내점,서울 은평구 연서로29길 19 금화빌딩 3층
제이든플레이스보드게임,경기 용인시 수지구 신봉1로 175 2층
홈즈앤루팡 동성로점,대구 중구 동성로1길 28 3층
하얗다가얼마나 보드라운지,서울 광진구 화양동 94-61
트리플엠,서울 강남구 도곡로 189 정금빌딩 지하1층
모두다,서울 마포구 양화로12길 8-5 세르보빌딩 3층
모모보드게임카페 압구정점,서울 강남구 신사동 578-4 형원빌딩 지하1층상세보기
4엠지,경기 안양시 만안구 장내로149번길 53
꼬꼬지보드게임,서울 성동구 왕십리로 410 센트라스 I동 182호
더룸보드카페,경기 안양시 동안구 관평로182번길 23
다같이굴려라,경기 부천시 길주로 111 센타프라자 303호
프리스콜레 김포점,경기 김포시 풍무로146번길 52-13
보드스쿨 홍대점,서울 마포구 어울마당로 118 천마빌딩 지하1층
위너보드카페,서울 마포구 마포대로4길 30-3 2층
크림,서울 강남구 도산대로49길 13
나눔파티카페,서울 양천구 월정로 66 2층 202호
써미타스플레이스,강원 원주시 서원대로 402 4층 402호
보드스쿨,서울 은평구 연서로29길 7
제임스보드카페,서울 강남구 언주로85길 23-10
워너플레이,서울 강동구 천호대로 1128 504호
생각노리 보드&체스,서울 영등포구 영중로 75-1 2층 201호
레드다이스,서울 종로구 창경궁로29길 25 명륜빌딩 2층 202호
아지트보드게임카페,서울 송파구 올림픽로12길 4-23
캐슬에이 홀덤펍,서울 마포구 와우산로21길 19-11 3층
너나들이 월성점,대구 달서구 조암로 39 SI타워 302호
나인보드카페,서울 강동구 천호대로157길 15 4층
펑키보드게임카페,서울 은평구 연서로29길 14-13 남경빌딩 4층
제이제이보드까페,서울 강남구 삼성로84길 14
피케이홀덤,경기 안양시 동안구 관평로305번길 39
모드니마전보드카페,인천 서구 완정로 48 2층
다이스홀릭,서울 송파구 가락로 112
킹콩보드게임,서울 강남구 선릉로157길 14-8
모나코홀덤,인천 남동구 백범로 132 만수프라자 4층 401호
더홀릭 미아사거리점,서울 강북구 도봉로8길 12 301호
플레이보드 성신여대점,서울 성북구 동소문로22길 30 3층
블랙다이아몬드,서울 강남구 선릉로157길 14-7
에이스보드게임카페,서울 동대문구 전농로 94
카페비,경기 구리시 이문안로99번길 10-9
보드게임카페윈,경기 성남시 분당구 분당로53번길 14
골목대장보드카페,서울 강남구 선릉로161길 19
세븐다이스 보드게임카페 삼양점,서울 강북구 삼양로 169 3층
놀이터보드카페,경기 화성시 꽃내음1길 19-18 송산프라자 701호
엠제이보드게임카페,서울 강서구 마곡중앙로 165 안강프라이빗타워1차 3층 302~305호
범피플보드게임카페,경기 성남시 분당구 황새울로214번길 8 NS프라자 8층
너나들이 대구본점,대구 달성군 다사읍 달구벌대로 875 3층
더플레이보드게임카페,경기 광명시 오리로854번길 16-10 5층
